symbol,timestamp,open,high,low,close,volume,trade_count,vwap
SPY,2025-07-17 08:00:00+00:00,624.4,624.4,624.32,624.39,2480.0,47.0,624.350971
SPY,2025-07-17 08:01:00+00:00,624.47,624.55,624.47,624.55,1039.0,31.0,624.505
SPY,2025-07-17 08:02:00+00:00,624.54,624.54,624.54,624.54,304.0,13.0,624.54
SPY,2025-07-17 08:03:00+00:00,624.61,624.61,624.58,624.58,905.0,27.0,624.585556
SPY,2025-07-17 08:04:00+00:00,624.55,624.55,624.55,624.55,554.0,17.0,624.55
SPY,2025-07-17 08:05:00+00:00,624.47,624.47,624.45,624.45,1056.0,20.0,624.462
SPY,2025-07-17 08:06:00+00:00,624.59,624.59,624.58,624.58,1566.0,24.0,624.588143
SPY,2025-07-17 08:07:00+00:00,624.46,624.46,624.46,624.46,533.0,21.0,624.46
SPY,2025-07-17 08:08:00+00:00,624.45,624.5,624.45,624.5,715.0,12.0,624.475424
SPY,2025-07-17 08:09:00+00:00,624.51,624.55,624.51,624.55,787.0,17.0,624.52
SPY,2025-07-17 08:11:00+00:00,624.59,624.64,624.59,624.64,760.0,22.0,624.606949
SPY,2025-07-17 08:15:00+00:00,624.58,624.58,624.56,624.56,1012.0,23.0,624.5675
SPY,2025-07-17 08:16:00+00:00,624.63,624.63,624.63,624.63,287.0,9.0,624.63
SPY,2025-07-17 08:17:00+00:00,624.48,624.48,624.48,624.48,1593.0,33.0,624.48
SPY,2025-07-17 08:18:00+00:00,624.36,624.37,624.35,624.37,3145.0,42.0,624.357923
SPY,2025-07-17 08:19:00+00:00,624.34,624.34,624.34,624.34,524.0,13.0,624.34
SPY,2025-07-17 08:20:00+00:00,624.33,624.34,624.32,624.34,1676.0,23.0,624.328288
SPY,2025-07-17 08:22:00+00:00,624.4,624.4,624.4,624.4,690.0,27.0,624.4
SPY,2025-07-17 08:23:00+00:00,624.41,624.41,624.36,624.36,952.0,19.0,624.367143
SPY,2025-07-17 08:24:00+00:00,624.36,624.36,624.25,624.25,972.0,46.0,624.286667
SPY,2025-07-17 08:25:00+00:00,624.24,624.24,624.24,624.24,1055.0,30.0,624.24
SPY,2025-07-17 08:26:00+00:00,624.3,624.3,624.3,624.3,239.0,7.0,624.3
SPY,2025-07-17 08:29:00+00:00,624.4,624.41,624.39,624.41,1880.0,30.0,624.405
SPY,2025-07-17 08:30:00+00:00,624.45,624.5,624.45,624.5,514.0,18.0,624.475
SPY,2025-07-17 08:31:00+00:00,624.47,624.47,624.42,624.42,1245.0,33.0,624.452557
SPY,2025-07-17 08:32:00+00:00,624.36,624.36,624.36,624.36,175.0,6.0,624.36
SPY,2025-07-17 08:33:00+00:00,624.49,624.5,624.46,624.46,671.0,9.0,624.484132
SPY,2025-07-17 08:34:00+00:00,624.39,624.39,624.39,624.39,394.0,10.0,624.39
SPY,2025-07-17 08:38:00+00:00,624.46,624.53,624.46,624.53,720.0,8.0,624.513333
SPY,2025-07-17 08:39:00+00:00,624.55,624.55,624.55,624.55,709.0,12.0,624.55
